generic_name,drug_category
"SODIUM, POTASSIUM,MAG SULFATES",Other/Supportive Care
SODIUM/POT/MAG/CALC/CHLOR/ACET,Other/Supportive Care
SOFOSBUVIR,Other/Supportive Care
SOFOSBUVIR/VELPATAS/VOXILAPREV,Other/Supportive Care
SOFOSBUVIR/VELPATASVIR,Other/Supportive Care
SOLIFENACIN SUCCINATE,Other/Supportive Care
SOMATROPIN,Other/Supportive Care
SONIDEGIB PHOSPHATE,Other/Supportive Care
SORAFENIB TOSYLATE,Oncology
SORBITOL SOLUTION,Other/Supportive Care
SOTALOL HCL,Other/Supportive Care
SPIRONOLACT/HYDROCHLOROTHIAZID,Other/Supportive Care
SPIRONOLACTONE,Other/Supportive Care
STAVUDINE,Other/Supportive Care
STREPTOMYCIN SULFATE,Other/Supportive Care
"SUB-Q INSULIN DEVICE, 20 UNIT",Endocrine/Metabolic
"SUB-Q INSULIN DEVICE, 30 UNIT",Endocrine/Metabolic
"SUB-Q INSULIN DEVICE, 40 UNIT",Endocrine/Metabolic
SUCCIMER,Other/Supportive Care
SUCCINYLCHOLINE CHLORIDE,Other/Supportive Care
SUCRALFATE,Other/Supportive Care
SUCROFERRIC OXYHYDROXIDE,Other/Supportive Care
SULCONAZOLE NITRATE,Other/Supportive Care
SULFACETAMIDE SOD/SULFUR/UREA,Dermatological
SULFACETAMIDE SODIUM,Other/Supportive Care
SULFACETAMIDE SODIUM/SULFUR,Dermatological
SULFACETAMIDE/PREDNISOLONE,Other/Supportive Care
SULFACETAMIDE/PREDNISOLONE SP,Other/Supportive Care
SULFADIAZINE,Other/Supportive Care
SULFAMETHOXAZOLE/TRIMETHOPRIM,Antibiotics/Antiinfectives
SULFANILAMIDE,Other/Supportive Care
SULFASALAZINE,Other/Supportive Care
SULINDAC,Other/Supportive Care
SUMATRIPTAN,Other/Supportive Care
SUMATRIPTAN SUCC/NAPROXEN SOD,Pain/Analgesics/Antiinflammatory
SUMATRIPTAN SUCCINATE,Other/Supportive Care
SUNITINIB MALATE,Oncology
SUVOREXANT,Other/Supportive Care
"SYR-ND,INS,0.3/CONTAINER,EMPTY",Other/Supportive Care
"SYR-ND,INS,0.5/CONTAINER,EMPTY",Other/Supportive Care
"SYR,NDL,INSULIN,1ML-SHARPS BIN",Endocrine/Metabolic
"SYRGE-NDL,INS 0.3 ML HALF MARK",Other/Supportive Care
"SYRING-NEEDL,DISP,INSUL,0.3 ML",Other/Supportive Care
"SYRINGE AND NEEDLE,INSULIN,1ML",Endocrine/Metabolic
"SYRINGE W-NDL, DISP,INSUL,2 ML",Other/Supportive Care
"SYRINGE WITH NEEDLE, INSULIN",Endocrine/Metabolic
"SYRINGE-NEEDLE,INSULIN,0.5 ML",Endocrine/Metabolic
"SYRINGE,INSUL U-500,NDL,0.5ML",Other/Supportive Care
"SYRINGE,INSULIN,NEEDLESS 1 ML",Endocrine/Metabolic
"SYRINGE,NEEDLE,INSULN,SAFE,1ML",Other/Supportive Care
"SYRINGE,NEEDLE,INSULN,SF 0.5ML",Other/Supportive Care
"SYRINGE,NEEDLE,INSULN,SF,0.3ML",Other/Supportive Care
"SYRINGE,SAFETY WITH NEEDLE,1ML",Other/Supportive Care
TACROLIMUS,Immunosuppressants/Biologics
TADALAFIL,Other/Supportive Care
TAFLUPROST/PF,Other/Supportive Care
TALIGLUCERASE ALFA,Other/Supportive Care
TAMOXIFEN CITRATE,Other/Supportive Care
TAMSULOSIN HCL,Other/Supportive Care
TAPENTADOL HCL,Other/Supportive Care
TASIMELTEON,Other/Supportive Care
TAVABOROLE,Other/Supportive Care
TAZAROTENE,Dermatological
TBO-FILGRASTIM,Other/Supportive Care
TEDIZOLID PHOSPHATE,Other/Supportive Care
TEDUGLUTIDE,Other/Supportive Care
TELAVANCIN HCL,Other/Supportive Care
TELBIVUDINE,Other/Supportive Care
TELMISARTAN,Other/Supportive Care
TELMISARTAN/AMLODIPINE,Cardiovascular
TELMISARTAN/HYDROCHLOROTHIAZID,Other/Supportive Care
TELOTRISTAT ETIPRATE,Other/Supportive Care
TEMAZEPAM,Other/Supportive Care
TEMSIROLIMUS,Other/Supportive Care
TENOFOVIR ALAFENAMIDE FUMARATE,Other/Supportive Care
TENOFOVIR DISOPROXIL FUMARATE,Other/Supportive Care
TERAZOSIN HCL,Other/Supportive Care
TERBINAFINE HCL,Other/Supportive Care
TERBUTALINE SULFATE,Other/Supportive Care
TERCONAZOLE,Other/Supportive Care
TERIFLUNOMIDE,Other/Supportive Care
TERIPARATIDE,Other/Supportive Care
TESAMORELIN ACETATE,Other/Supportive Care
TESTOSTERONE,Endocrine/Metabolic
TESTOSTERONE CYPIONATE,Endocrine/Metabolic
TESTOSTERONE ENANTHATE,Endocrine/Metabolic
TESTOSTERONE UNDECANOATE,Endocrine/Metabolic
"TETANUS TOXOID, ADSORBED/PF",Other/Supportive Care
TETANUS-DIPHTHERIA TOXOIDS/PF,Other/Supportive Care
"TETANUS, DIPHTHERIA TOX,ADULT",Other/Supportive Care
"TETANUS,DIPHTHERIA TOXD PED/PF",Other/Supportive Care
TETRABENAZINE,Other/Supportive Care
TETRACAINE HCL,Other/Supportive Care
TETRACAINE HCL/PF,Other/Supportive Care
TETRACYCLINE HCL,Antibiotics/Antiinfectives
THALIDOMIDE,Oncology
THEOPHYLLINE ANHYDROUS,Respiratory/Pulmonary
THIOGUANINE,Other/Supportive Care
THIORIDAZINE HCL,Other/Supportive Care
THIOTHIXENE,Other/Supportive Care
"THYROID,PORK",Other/Supportive Care
THYROTROPIN ALFA,Other/Supportive Care
TIAGABINE HCL,Other/Supportive Care
TICAGRELOR,Other/Supportive Care
TIGECYCLINE,Other/Supportive Care
TIMOLOL,Other/Supportive Care
TIMOLOL MALEATE,Other/Supportive Care
TIMOLOL MALEATE/PF,Other/Supportive Care
TINIDAZOLE,Other/Supportive Care
TIOPRONIN,Other/Supportive Care
TIOTROPIUM BR/OLODATEROL HCL,Respiratory/Pulmonary
TIOTROPIUM BROMIDE,Respiratory/Pulmonary
TIPRANAVIR,Other/Supportive Care
TIZANIDINE HCL,Other/Supportive Care
TOBRAMYCIN,Other/Supportive Care
TOBRAMYCIN IN 0.225% SOD CHLOR,Other/Supportive Care
TOBRAMYCIN SULFATE,Other/Supportive Care
TOBRAMYCIN/DEXAMETHASONE,Other/Supportive Care
TOBRAMYCIN/LOTEPRED ETAB,Other/Supportive Care
TOBRAMYCIN/NEBULIZER,Other/Supportive Care
TOCILIZUMAB,Immunosuppressants/Biologics
TOFACITINIB CITRATE,Other/Supportive Care
TOLAZAMIDE,Other/Supportive Care
TOLBUTAMIDE,Other/Supportive Care
TOLCAPONE,Other/Supportive Care
TOLMETIN SODIUM,Other/Supportive Care
TOLTERODINE TARTRATE,Other/Supportive Care
TOLVAPTAN,Other/Supportive Care
TOPIRAMATE,Neurological/Neuropsychiatric
TOPOTECAN HCL,Other/Supportive Care
TOREMIFENE CITRATE,Other/Supportive Care
TORSEMIDE,Other/Supportive Care
TRABECTEDIN,Other/Supportive Care
TRAMADOL HCL,Pain/Analgesics/Antiinflammatory
TRAMADOL HCL/ACETAMINOPHEN,Pain/Analgesics/Antiinflammatory
TRAMETINIB DIMETHYL SULFOXIDE,Other/Supportive Care
TRANDOLAPRIL,Other/Supportive Care
TRANDOLAPRIL/VERAPAMIL HCL,Cardiovascular
TRANEXAMIC ACID,Other/Supportive Care
TRANYLCYPROMINE SULFATE,Other/Supportive Care
TRASTUZUMAB,Oncology
TRAVOPROST,Other/Supportive Care
TRAVOPROST (BENZALKONIUM),Other/Supportive Care
TRAZODONE HCL,Other/Supportive Care
TREPROSTINIL DIOLAMINE,Other/Supportive Care
TREPROSTINIL SODIUM,Other/Supportive Care
TREPROSTINIL/NEB ACCESSORIES,Other/Supportive Care
TRETINOIN,Dermatological
TRETINOIN MICROSPHERES,Dermatological
TRIAMCINOLONE ACETONIDE,Dermatological
TRIAMCINOLONE ACETONIDE/PF,Dermatological
TRIAMTERENE,Other/Supportive Care
TRIAMTERENE/HYDROCHLOROTHIAZID,Other/Supportive Care
TRIAZOLAM,Other/Supportive Care
TRIENTINE HCL,Other/Supportive Care
TRIFLUOPERAZINE HCL,Other/Supportive Care
TRIFLURIDINE,Other/Supportive Care
TRIFLURIDINE/TIPIRACIL HCL,Other/Supportive Care
TRIHEXYPHENIDYL HCL,Other/Supportive Care
TRIMETHOBENZAMIDE HCL,Other/Supportive Care
TRIMETHOPRIM,Antibiotics/Antiinfectives
TRIMIPRAMINE MALEATE,Other/Supportive Care
TRIPTORELIN PAMOATE,Other/Supportive Care
TROPICAMIDE,Other/Supportive Care
TROSPIUM CHLORIDE,Other/Supportive Care
TYPHOID VI POLYSACCH VACCINE,Other/Supportive Care
ULIPRISTAL ACETATE,Other/Supportive Care
UMECLIDINIUM BRM/VILANTEROL TR,Respiratory/Pulmonary
UMECLIDINIUM BROMIDE,Respiratory/Pulmonary
UREA,Other/Supportive Care
URSODIOL,Other/Supportive Care
USTEKINUMAB,Immunosuppressants/Biologics
VALACYCLOVIR HCL,Antibiotics/Antiinfectives
VALBENAZINE TOSYLATE,Other/Supportive Care
VALGANCICLOVIR HCL,Antibiotics/Antiinfectives
VALPROIC ACID,Neurological/Neuropsychiatric
VALPROIC ACID (AS SODIUM SALT),Neurological/Neuropsychiatric
VALRUBICIN,Other/Supportive Care
VALSARTAN,Other/Supportive Care
VALSARTAN/HYDROCHLOROTHIAZIDE,Cardiovascular
VANCOMYCIN HCL,Antibiotics/Antiinfectives
VANCOMYCIN HCL IN 5 % DEXTROSE,Antibiotics/Antiinfectives
VANCOMYCIN/0.9 % SOD CHLORIDE,Antibiotics/Antiinfectives
VANDETANIB,Other/Supportive Care
VARDENAFIL HCL,Other/Supportive Care
VARENICLINE TARTRATE,Other/Supportive Care
VARICELLA VACCINE LIVE/PF,Other/Supportive Care
VARICELLA-ZOSTER GE/AS01B/PF,Other/Supportive Care
VASOPRESSIN,Other/Supportive Care
VEDOLIZUMAB,Immunosuppressants/Biologics
VELAGLUCERASE ALFA,Other/Supportive Care
VEMURAFENIB,Other/Supportive Care
VENETOCLAX,Other/Supportive Care
VENLAFAXINE HCL,Neurological/Neuropsychiatric
VERAPAMIL HCL,Cardiovascular
VERTEPORFIN,Other/Supportive Care
VIGABATRIN,Other/Supportive Care
VILAZODONE HCL,Other/Supportive Care
VINBLASTINE SULFATE,Other/Supportive Care
VINCRISTINE SULFATE,Other/Supportive Care
VINORELBINE TARTRATE,Other/Supportive Care
VISMODEGIB,Other/Supportive Care
VIT B COMP NO.3/FOLIC/C/BIOTIN,Other/Supportive Care
VORAPAXAR SULFATE,Other/Supportive Care
VORICONAZOLE,Other/Supportive Care
VORINOSTAT,Other/Supportive Care
VORTIOXETINE HYDROBROMIDE,Other/Supportive Care
WARFARIN SODIUM,Cardiovascular
"WATER FOR INJECTION,STERILE",Other/Supportive Care
"WATER FOR IRRIGATION,STERILE",Other/Supportive Care
WEED POLLEN-SHORT RAGWEED,Other/Supportive Care
YELLOW FEVER VACCINE LIVE/PF,Other/Supportive Care
ZAFIRLUKAST,Respiratory/Pulmonary
ZALEPLON,Other/Supportive Care
ZANAMIVIR,Antibiotics/Antiinfectives
ZICONOTIDE ACETATE,Other/Supportive Care
ZIDOVUDINE,Other/Supportive Care
ZILEUTON,Other/Supportive Care
ZIPRASIDONE HCL,Neurological/Neuropsychiatric
ZIPRASIDONE MESYLATE,Neurological/Neuropsychiatric
ZIV-AFLIBERCEPT,Other/Supportive Care
ZOLEDRONIC ACID,Other/Supportive Care
ZOLEDRONIC ACID/MANNITOL-WATER,Other/Supportive Care
ZOLMITRIPTAN,Other/Supportive Care
ZOLPIDEM TARTRATE,Other/Supportive Care
ZONISAMIDE,Other/Supportive Care
ZOSTER VACCINE LIVE/PF,Other/Supportive Care
