generic_name,drug_category
CLOTRIMAZOLE/BETAMETHASONE DIP,Antibiotics/Antiinfectives
CLOZAPINE,Neurological/Neuropsychiatric
COBICISTAT,Other/Supportive Care
COBIMETINIB FUMARATE,Other/Supportive Care
CODEINE PHOSPHATE/GUAIFENESIN,Pain/Analgesics/Antiinflammatory
CODEINE SULFATE,Pain/Analgesics/Antiinflammatory
CODEINE/BUTALBITAL/ASA/CAFFEIN,Pain/Analgesics/Antiinflammatory
COLCHICINE,Other/Supportive Care
COLESEVELAM HCL,Other/Supportive Care
COLESTIPOL HCL,Other/Supportive Care
COLISTIN (COLISTIMETHATE NA),Other/Supportive Care
COLLAGENASE CLOSTRIDIUM HIST.,Other/Supportive Care
COPPER,Other/Supportive Care
CORTICOTROPIN,Other/Supportive Care
CORTISONE ACETATE,Other/Supportive Care
CRISABOROLE,Other/Supportive Care
CRIZOTINIB,Other/Supportive Care
CROFELEMER,Other/Supportive Care
CROMOLYN SODIUM,Respiratory/Pulmonary
CROTAMITON,Other/Supportive Care
CYANOCOBALAMIN (VITAMIN B-12),Other/Supportive Care
CYANOCOBALAMIN/FOLIC AC/VIT B6,Other/Supportive Care
CYCLOBENZAPRINE HCL,Pain/Analgesics/Antiinflammatory
CYCLOPENTOLATE HCL,Other/Supportive Care
CYCLOPENTOLATE/PHENYLEPHRINE,Other/Supportive Care
CYCLOPHOSPHAMIDE,Other/Supportive Care
CYCLOSERINE,Other/Supportive Care
CYCLOSPORINE,Immunosuppressants/Biologics
"CYCLOSPORINE, MODIFIED",Immunosuppressants/Biologics
CYPROHEPTADINE HCL,Other/Supportive Care
CYSTEAMINE BITARTRATE,Other/Supportive Care
CYSTEAMINE HCL,Other/Supportive Care
CYTARABINE,Other/Supportive Care
CYTARABINE/PF,Other/Supportive Care
CYTOMEGALOVIRUS IMMUNE GLOBULN,Other/Supportive Care
DABIGATRAN ETEXILATE MESYLATE,Other/Supportive Care
DABRAFENIB MESYLATE,Other/Supportive Care
DACARBAZINE,Other/Supportive Care
DACLATASVIR DIHYDROCHLORIDE,Other/Supportive Care
DACLIZUMAB,Other/Supportive Care
DALBAVANCIN HCL,Other/Supportive Care
DALFAMPRIDINE,Other/Supportive Care
"DALTEPARIN SODIUM,PORCINE",Other/Supportive Care
DANAZOL,Other/Supportive Care
